,campaign name,date,sales,number of impressions,reach,number of clicks,number of searches,number of view content,number of add to cart,number of purchase
0,Control Campaign,2019-08-01,2280,82702.0,56930.0,7016.0,2290.0,2159.0,1819.0,618.0
1,Test Campaign,2019-08-01,3008,39550.0,35820.0,3038.0,1946.0,1069.0,894.0,255.0
2,Control Campaign,2019-08-02,1757,121040.0,102513.0,8110.0,2033.0,1841.0,1219.0,511.0
3,Test Campaign,2019-08-02,2542,100719.0,91236.0,4657.0,2359.0,1548.0,879.0,677.0
4,Control Campaign,2019-08-03,2343,131711.0,110862.0,6508.0,1737.0,1549.0,1134.0,372.0
5,Test Campaign,2019-08-03,2365,70263.0,45198.0,7885.0,2572.0,2367.0,1268.0,578.0
6,Control Campaign,2019-08-04,1940,72878.0,61235.0,3065.0,1042.0,982.0,1183.0,340.0
7,Test Campaign,2019-08-04,2710,78451.0,25937.0,4216.0,2216.0,1437.0,566.0,340.0
8,Control Campaign,2019-08-05,1835,109559.75862068965,88844.93103448275,5320.793103448276,2221.310344827586,1943.7931034482758,1300.0,522.7931034482758
9,Test Campaign,2019-08-05,2297,114295.0,95138.0,5863.0,2106.0,858.0,956.0,768.0
10,Test Campaign,2019-08-06,2458,42684.0,31489.0,7488.0,1854.0,1073.0,882.0,488.0
11,Control Campaign,2019-08-06,3083,109076.0,87998.0,4028.0,1709.0,1249.0,784.0,764.0
12,Test Campaign,2019-08-07,2838,53986.0,42148.0,4221.0,2733.0,2182.0,1301.0,890.0
13,Control Campaign,2019-08-07,2544,142123.0,127852.0,2640.0,1388.0,1106.0,1166.0,499.0
14,Test Campaign,2019-08-08,2916,33669.0,20149.0,7184.0,2867.0,2194.0,1240.0,431.0
15,Control Campaign,2019-08-08,1900,90939.0,65217.0,7260.0,3047.0,2746.0,930.0,462.0
16,Control Campaign,2019-08-09,2813,121332.0,94896.0,6198.0,2487.0,2179.0,645.0,501.0
17,Test Campaign,2019-08-09,2652,45511.0,31598.0,8259.0,2899.0,2761.0,1200.0,845.0
18,Test Campaign,2019-08-10,2790,95054.0,79632.0,8125.0,2312.0,1804.0,424.0,275.0
19,Control Campaign,2019-08-10,2149,117624.0,91257.0,2277.0,2475.0,1984.0,1629.0,734.0
20,Control Campaign,2019-08-11,2490,115247.0,95843.0,8137.0,2941.0,2486.0,1887.0,475.0
21,Test Campaign,2019-08-11,2420,83633.0,71286.0,3750.0,2893.0,2617.0,1075.0,668.0
22,Control Campaign,2019-08-12,2319,116639.0,100189.0,2993.0,1397.0,1147.0,1439.0,794.0
23,Test Campaign,2019-08-12,2831,124591.0,10598.0,8264.0,2081.0,1992.0,1382.0,709.0
24,Control Campaign,2019-08-13,2697,82847.0,68214.0,6554.0,2390.0,1975.0,1794.0,766.0
25,Test Campaign,2019-08-13,1972,65827.0,49531.0,7568.0,2213.0,2058.0,1391.0,812.0
26,Test Campaign,2019-08-14,2537,56304.0,25982.0,3993.0,1979.0,1059.0,779.0,340.0
27,Control Campaign,2019-08-14,1875,145248.0,118632.0,4521.0,1209.0,1149.0,1339.0,788.0
28,Test Campaign,2019-08-15,2516,94338.0,76219.0,4993.0,2537.0,1609.0,1090.0,398.0
29,Control Campaign,2019-08-15,2774,132845.0,102479.0,4896.0,1179.0,1005.0,1641.0,366.0
30,Test Campaign,2019-08-16,3076,106584.0,81389.0,6800.0,2661.0,2594.0,1059.0,487.0
31,Control Campaign,2019-08-16,2024,71274.0,42859.0,5224.0,2427.0,2158.0,1613.0,438.0
32,Control Campaign,2019-08-17,2177,119612.0,106518.0,6628.0,1756.0,1642.0,878.0,222.0
33,Test Campaign,2019-08-17,1968,95843.0,54389.0,7910.0,1995.0,1576.0,383.0,238.0
34,Test Campaign,2019-08-18,1979,53632.0,43241.0,6909.0,2824.0,2522.0,461.0,257.0
35,Control Campaign,2019-08-18,1876,108452.0,96518.0,7253.0,2447.0,2115.0,1695.0,243.0
36,Test Campaign,2019-08-19,2626,22521.0,10698.0,7617.0,2924.0,2801.0,788.0,512.0
37,Control Campaign,2019-08-19,2596,107890.0,81268.0,3706.0,2483.0,2098.0,908.0,542.0
38,Test Campaign,2019-08-20,2712,39470.0,31893.0,6050.0,2061.0,1894.0,1047.0,730.0
39,Control Campaign,2019-08-20,2675,113430.0,78625.0,2578.0,1001.0,848.0,1709.0,299.0
40,Test Campaign,2019-08-21,3112,133771.0,109834.0,5471.0,1995.0,1868.0,278.0,245.0
41,Control Campaign,2019-08-21,1803,74654.0,59873.0,5691.0,2711.0,2496.0,1460.0,800.0
42,Test Campaign,2019-08-22,2899,34752.0,27932.0,4431.0,1983.0,1131.0,367.0,276.0
43,Control Campaign,2019-08-22,2939,105705.0,86218.0,6843.0,3102.0,2988.0,819.0,387.0
44,Test Campaign,2019-08-23,2407,60286.0,49329.0,5077.0,2592.0,2004.0,632.0,473.0
45,Control Campaign,2019-08-23,2496,129880.0,109413.0,4410.0,2896.0,2496.0,1913.0,766.0
46,Test Campaign,2019-08-24,2078,36650.0,30489.0,7156.0,2687.0,2427.0,327.0,269.0
47,Control Campaign,2019-08-24,1892,72515.0,51987.0,4085.0,1274.0,1149.0,1146.0,585.0
48,Control Campaign,2019-08-25,1962,117006.0,100398.0,4234.0,2423.0,2096.0,883.0,386.0
49,Test Campaign,2019-08-25,2928,120576.0,105978.0,3596.0,2937.0,2551.0,1228.0,651.0
50,Test Campaign,2019-08-26,2311,80841.0,61589.0,3820.0,2037.0,1046.0,346.0,284.0
51,Control Campaign,2019-08-26,2233,124897.0,98432.0,5435.0,2847.0,2421.0,1448.0,251.0
52,Test Campaign,2019-08-27,2915,111469.0,92159.0,6435.0,2976.0,2552.0,992.0,771.0
53,Control Campaign,2019-08-27,2061,104678.0,91579.0,4941.0,3549.0,3249.0,980.0,605.0
54,Test Campaign,2019-08-28,2247,54627.0,41267.0,8144.0,2432.0,1281.0,1009.0,721.0
55,Control Campaign,2019-08-28,2421,141654.0,125874.0,6287.0,1672.0,1589.0,1711.0,643.0
56,Test Campaign,2019-08-29,2805,67444.0,43219.0,7651.0,1920.0,1240.0,1168.0,677.0
57,Control Campaign,2019-08-29,2375,92029.0,74192.0,8127.0,4891.0,4219.0,1486.0,334.0
58,Control Campaign,2019-08-30,2324,111306.0,88632.0,4658.0,1615.0,1249.0,442.0,670.0
59,Test Campaign,2019-08-30,1977,120203.0,89380.0,4399.0,2978.0,1625.0,1034.0,572.0
